e1711626,0,1
e14c46de,0,1
eb558be4,0,1
960ea091,0,1
dc803e5 ,0,1
4686ebb1,0,1
f498916a,0,1
e06f1bef,1,1
58d6d30f,0,1
ef598a6e,0,1
cf65fdbb,0,1
72fc05c5,0,1
ce34de30,0,1
9d3c0a90,0,1
1623b2c9,0,1
d065f05e,1,1
ed646faf,0,1
cc9f9269,0,1
15cd68c7,0,1
bbf2982b,0,1
56fcb65d,0,1
b43f0fa3,0,1
a3be45c9,0,1
e4e3afb2,1,1
49393b4e,0,1
5a1b530b,0,1
ea3cf2a9,0,1
92343513,0,1
38b0529 ,0,1
5a54de49,0,1
c619f73f,0,1
ad5d7f58,1,1
95262422,0,1
9a63b562,0,1
5ed0766b,0,1
c6905543,0,1
29a2e390,0,1
8ffade5 ,0,1
1ca8459e,0,1
105755f3,1,1
38849fc2,0,1
96cf9939,0,1
96ee3bc5,0,1
88e5f660,0,1
ee44b230,0,1
cb265158,0,1
7d8c6b58,0,1
1f335cad,1,1
ee161bc2,0,1
ae0cb755,0,1
479570fd,0,1
7f6590f6,0,1
aed161d2,0,1
2497784 ,0,1
37b05a4b,0,1
b51e243 ,1,1
60f9e31b,0,1
51c0db63,0,1
c555cde2,0,1
a7112033,0,1
a5ae48a8,0,1
88674260,0,1
e0c7b6dd,0,1
6d572f08,1,1
3a012531,0,1
b6a8cf6c,0,1
400e3734,0,1
5d160f7a,0,1
d4e713d3,0,1
af5d19d2,0,1
309707c9,0,1
24eb65ee,1,1
90f1978 ,0,1
cc432473,0,1
7af5e3f6,0,1
93d866f ,0,1
80069d04,0,1
9fe9980d,0,1
b8a4b430,0,1
5951566a,1,1
