48,1,48,1
46,1,46,1
8,1,8,2
60,1,60,2
25,1,25,1
22,1,22,0
47,1,47,1
25,1,25,2
59,1,59,2
21,1,21,2
39,1,39,2
55,1,55,2
42,1,42,1
6,1,6,0
35,1,35,0
31,1,31,1
44,1,44,0
31,1,31,1
21,1,21,1
23,1,23,0
42,1,42,0
39,1,39,1
8,1,8,1
59,1,59,2
40,1,40,2
5,1,5,1
61,1,61,2
21,1,21,0
11,1,11,0
57,1,57,1
32,1,32,2
20,1,20,0
53,1,53,0
40,1,40,0
11,1,11,2
7,1,7,1
11,1,11,1
31,1,31,1
0,1,0,2
7,1,7,1
34,1,34,0
7,1,7,0
20,1,20,0
54,1,54,2
26,1,26,1
45,1,45,0
9,1,9,0
25,1,25,2
8,1,8,1
58,1,58,1
29,1,29,0
10,1,10,0
18,1,18,2
38,1,38,1
14,1,14,0
55,1,55,1
54,1,54,1
51,1,51,0
50,1,50,2
50,1,50,2
13,1,13,1
6,1,6,0
22,1,22,2
50,1,50,2
17,1,17,1
58,1,58,1
52,1,52,1
29,1,29,2
49,1,49,0
29,1,29,1
49,1,49,0
32,1,32,2
20,1,20,2
47,1,47,1
34,1,34,1
15,1,15,0
46,1,46,0
16,1,16,1
16,1,16,1
17,1,17,2
32,1,32,1
43,1,43,2
22,1,22,2
29,1,29,1
5,1,5,2
14,1,14,0
14,1,14,2
11,1,11,1
43,1,43,2
42,1,42,1
17,1,17,0
52,1,52,1
57,1,57,1
34,1,34,2
32,1,32,1
18,1,18,1
14,1,14,0
7,1,7,1
3,1,3,0
26,1,26,2
