48,1,2
46,1,1
8,1,0
60,1,1
25,1,0
22,1,0
47,1,1
25,1,0
59,1,0
21,1,1
39,1,0
55,1,1
42,1,1
6,1,0
35,1,2
31,1,2
44,1,2
31,1,2
21,1,1
23,1,0
42,1,2
39,1,2
8,1,0
59,1,0
40,1,0
5,1,0
61,1,0
21,1,0
11,1,1
57,1,0
32,1,0
20,1,1
53,1,2
40,1,1
11,1,2
7,1,0
11,1,0
31,1,2
0,1,2
7,1,2
34,1,0
7,1,2
20,1,0
54,1,2
26,1,0
45,1,2
9,1,1
25,1,1
8,1,0
58,1,1
29,1,0
10,1,0
18,1,1
38,1,2
14,1,2
55,1,2
54,1,0
51,1,0
50,1,1
50,1,0
13,1,1
6,1,1
22,1,1
50,1,2
17,1,0
58,1,0
52,1,2
29,1,0
49,1,0
29,1,2
49,1,1
32,1,2
20,1,2
47,1,1
34,1,0
15,1,0
46,1,1
16,1,2
16,1,2
17,1,2
32,1,1
43,1,2
22,1,1
29,1,0
5,1,0
14,1,2
14,1,2
11,1,2
43,1,1
42,1,0
17,1,0
52,1,0
57,1,0
34,1,0
32,1,1
18,1,2
14,1,2
7,1,1
3,1,2
26,1,0
