718,0,0,1,2
3d08,0,1,1,1
3800,0,2,1,0
dc0,0,3,1,0
640,0,4,1,2
1278,0,5,1,2
1dc0,0,6,1,1
c80,0,7,1,1
a50,0,8,1,2
1c8,0,9,1,0
1258,0,10,1,1
458,0,11,1,2
20b0,0,12,1,2
3a8,0,13,1,1
1968,0,14,1,2
1228,0,15,1,1
1910,0,16,1,2
1c80,0,17,1,1
1858,0,18,1,1
21f8,0,19,1,0
258,0,20,1,1
2a20,0,21,1,2
2328,0,22,1,1
9f8,0,23,1,1
3e08,0,24,1,2
38,0,25,1,2
3508,0,26,1,1
1930,0,27,1,2
1c80,0,28,1,1
678,0,29,1,0
3a48,0,30,1,1
e98,0,31,1,2
29a8,0,32,1,2
1c90,0,33,1,0
3138,0,34,1,2
1a70,0,35,1,1
1be8,0,36,1,2
1858,0,37,1,0
5f8,0,38,1,1
1108,0,39,1,1
11e8,0,40,1,2
23f8,0,41,1,2
928,0,42,1,1
3500,0,43,1,0
30c0,0,44,1,0
3650,0,45,1,1
3318,0,46,1,2
14b0,0,47,1,1
1930,0,48,1,0
1730,0,49,1,0
2278,0,50,1,2
18,0,51,1,1
30c8,0,52,1,1
2238,0,53,1,0
420,0,54,1,2
1a10,0,55,1,2
2a0,0,56,1,2
768,0,57,1,0
2e28,0,58,1,0
2c30,0,59,1,0
22f8,0,60,1,2
2178,0,61,1,1
11c0,0,62,1,1
1d30,0,63,1,0
c40,0,0,1,2
2308,0,1,1,0
2690,0,2,1,1
3ca8,0,3,1,2
24a0,0,4,1,0
3ab8,0,5,1,2
2980,0,6,1,1
2730,0,7,1,1
3858,0,8,1,0
950,0,9,1,2
2938,0,10,1,1
1eb0,0,11,1,1
3af0,0,12,1,1
1e20,0,13,1,0
21e8,0,14,1,2
b60,0,15,1,1
df8,0,16,1,1
a60,0,17,1,2
1470,0,18,1,1
1ae0,0,19,1,1
10d8,0,20,1,0
3b8,0,21,1,1
d68,0,22,1,0
27c0,0,23,1,0
3be0,0,24,1,1
900,0,25,1,0
3b50,0,26,1,2
10d8,0,27,1,2
3ca0,0,28,1,0
3b28,0,29,1,2
1fc8,0,30,1,1
3c18,0,31,1,2
2490,0,32,1,2
26d8,0,33,1,1
3658,0,34,1,1
c90,0,35,1,0
