718,0,0,1,2
3600,0,1,1,2
2438,0,2,1,0
8b0,0,3,1,0
3ab8,0,4,1,2
2c50,0,5,1,0
988,0,6,1,2
11d8,0,7,1,2
360,0,8,1,2
2a8,0,9,1,1
11f8,0,10,1,1
18d8,0,11,1,0
d80,0,12,1,0
3828,0,13,1,1
1290,0,14,1,0
2610,0,15,1,0
90,0,16,1,1
940,0,17,1,0
3ad8,0,18,1,2
2478,0,19,1,0
28b8,0,20,1,1
c78,0,21,1,2
3f10,0,22,1,2
19d8,0,23,1,0
1038,0,24,1,1
3c28,0,25,1,0
36e0,0,26,1,1
29d0,0,27,1,2
c08,0,28,1,0
8f0,0,29,1,1
be8,0,30,1,0
368,0,31,1,1
30f0,0,32,1,0
1690,0,33,1,0
29b0,0,34,1,2
1938,0,35,1,2
35c8,0,36,1,2
3cc0,0,37,1,1
248,0,38,1,0
e58,0,39,1,2
1c38,0,40,1,2
2f40,0,41,1,0
248,0,42,1,0
2878,0,43,1,2
2f20,0,44,1,0
2270,0,45,1,1
1930,0,46,1,1
36e0,0,47,1,0
24a0,0,48,1,1
24e8,0,49,1,2
1d28,0,50,1,2
3a80,0,51,1,1
2858,0,52,1,1
1a90,0,53,1,2
9c0,0,54,1,0
3098,0,55,1,2
1f38,0,56,1,2
32c0,0,57,1,0
1010,0,58,1,2
1d20,0,59,1,0
538,0,60,1,2
2a00,0,61,1,0
608,0,62,1,1
2e98,0,63,1,2
17e8,0,0,1,2
10c0,0,1,1,2
1a10,0,2,1,2
3bb0,0,3,1,2
3d60,0,4,1,2
29d8,0,5,1,1
2d60,0,6,1,0
16b8,0,7,1,0
1758,0,8,1,0
2070,0,9,1,1
1858,0,10,1,1
1580,0,11,1,2
2430,0,12,1,0
33b8,0,13,1,2
20f0,0,14,1,2
2d30,0,15,1,1
2770,0,16,1,2
640,0,17,1,1
2f48,0,18,1,1
2270,0,19,1,0
c98,0,20,1,2
2680,0,21,1,2
2d30,0,22,1,2
968,0,23,1,0
fc8,0,24,1,1
b0,0,25,1,2
2760,0,26,1,0
1538,0,27,1,2
2638,0,28,1,2
35e8,0,29,1,1
1b08,0,30,1,1
3b80,0,31,1,0
38c8,0,32,1,1
58,0,33,1,1
2348,0,34,1,2
2b0,0,35,1,2
